filename M obs obs_nom pred_wc pred_wc_n pred_c pred_c_n var_g var_c1 var_c2
1_18239089 2 2 2 1.985 1.992 1.877 1.909 32.57 5.029 0 
1_18327257 1 1 1 0.9959 0.9959 0.9967 0.9967 32.25 2.148 0 
1_18514160 1 1 1 0.9993 0.9993 0.9947 0.9947 36.26 2.84 0 
1_18604267 1 1 1 0.9953 0.9953 0.7514 0.7514 29.14 22.36 0 
1_18846228 21 0 1 20.45 20.89 0.05411 1.082 0 16.6 1.018 
1_19079260 27 8 11 2.922 12.11 9.377 14.4 10.48 18.82 0 
1_19305408 10 9 9 9.976 9.996 8.944 9.345 53.95 -0.6501 11.76 
1_19305409 10 10 10 9.792 9.964 9.855 9.974 49.44 2.16 0 
1_19343178 30 3 8 11.81 23.68 5.826 12.19 5.59 17.31 0 
1_19430479 8 5 6 7.827 7.962 4.311 5.341 13.99 11.91 0 
1_19430483 9 5 6 8.343 8.834 4.859 6.101 13.89 10.71 0 
1_19448622 1 1 1 0.9876 0.9876 0.9687 0.9687 27.73 3.57 0 
1_19448623 1 1 1 0.9994 0.9994 0.8178 0.8178 22.62 9.48 0 
1_19557161 25 2 5 22.67 24.58 1.177 5.06 1.84 17.06 0.49 
1_19587794 5 3 4 5 5 3.965 4.12 37.45 -10.45 50 
1_19772629 1 0 0 0.9512 0.9512 0.05618 0.05618 0 24.1 1.072 
1_19802338 2 2 2 1.569 1.691 1.314 1.367 31.55 36.45 0 
1_19820697 3 0 0 2.918 2.956 0.03127 0.1111 0 17.7 0.848 
1_19853236 3 3 3 2.606 2.801 1.866 2.018 22.77 25.53 0 
1_19862010 6 5 6 5.372 5.812 3.712 4.217 21.97 19.63 0 
1_20010834 30 5 7 26.54 29.44 3.857 10.03 4.09 18.11 0 
1_20031538 10 1 2 9.919 9.981 2.551 3.95 4.6 16 2.054 
1_20045101 1 1 1 1 1 0.76 0.76 73.99 78.11 0 
1_20139977 3 1 1 2.944 2.974 1.192 1.417 6.48 13.02 2.116 
1_20172861 2 2 2 1.743 1.84 1.114 1.201 13.53 19.17 0 
1_20303062 1 1 1 0.9998 0.9998 0.9455 0.9455 28 4.8 0 
1_20548946 9 1 4 1.829 4.563 3.102 4.289 9.1 27.7 0 
1_20639394 5 2 2 2.798 3.778 2.875 3.151 33.63 51.07 0 
1_20887962 32 1 6 31.44 31.9 1.862 7.059 1.62 16.18 1.21 
1_20935629 16 14 16 15.87 15.98 15.21 15.78 36.85 -0.95 4.464 
1_21060863 5 4 4 4.742 4.924 3.354 3.692 27.06 20.84 0 
1_21124946 9 1 2 8.893 8.974 0.9001 2.028 2.38 34.42 0.628 
1_21196492 3 2 2 2.576 2.787 1.81 1.969 21.13 25.87 0 
1_21307088 1 1 1 0.9998 0.9998 0.9155 0.9155 24.58 5.22 0 
